User,LP Balance,is_contract,contract_type,events,withdrawn_eth,withdrawn_aleth,eth_to_redeem,aleth_to_redeem
0x93A62dA5a14C80f265DAbC077fCEE437B1a0Efde,1476995078189683968,True,,[],0,0,766127693844916480,819966653094265984
0x19C29401044097D450D25038a45898A57a7CeA6E,982078559170821760,False,,[],0,0,509411028393049920,545209446619103936
0xBdc505B178e600fF119A648449B7d258AE98ec76,3066846805838086,False,,[],0,0,1590794922358321,1702586655886569
0x40F404FE6C091b951576ECC7bCcE5ECd56c985f7,999999999999999,False,,[],0,0,518707005296144,555158690236989
0xb634316E06cC0B358437CbadD4dC94F1D3a92B3b,360619253009836,True,,[],0,0,187055732780864,200200912175182
0x000566B53E028d21e104E4320dE61c2314ef4064,100303939780139,False,,[],0,0,52028356222760,55684603833951
0x4E402F530f7B4EFD2c4D7227F5Ec2c9e4Ca2897E,99999999999999,False,,[],0,0,51870700529613,55515869023698
0x7d6f82612903EE40812bCA7ab04852237D483942,12416274073632,False,,[],0,0,6440408341669,6893002452341
0xe1B9c26636BC216a04c2E4a16Af0ef1E8dB22E2C,4100378428671,False,,[],0,0,2126895015316,2276360717937
0x9179d5a13B1676B10CD7A1629AAa650CE0e30319,563981489842,False,,[],0,0,292541149638,313099225218
0x870CE4CbE75814672c0f1E62D3d19474DBCa2EDC,1,False,,[],0,0,0,0
0x61FdE6848477c24D36FA2F2D6259202B22670Ed2,1,False,,[],0,0,0,0
