User,LP Balance,is_contract,contract_type,events,withdrawn_eth,withdrawn_crv,eth_to_redeem,crv_to_redeem
0x989AEb4d175e16225E39E87d0D97A3360524AD80,499449572562829870011066,True,convex,[],0,0,10175856787320597381120,26835390068554758294077440
0xF147b8125d2ef93FB6965Db97D6746952a133934,14134767326914623165824,True,yCRV,[],0,0,287983764412347351040,759460044784201197682688
0x394A16eeA604fBD86B0b45184b2d790c83a950E3,7228397290184803232471,False,,[],0,0,147272396789415084032,388381273122806503047168
0x09CF50574504d9dcf127E848A6058e8e0Bb814Aa,4547642717420281267616,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x09CF50574504d9dcf127E848A6058e8e0Bb814Aa', 'token_amount': 5254539058317626051126, 'coin_index': 0, 'coin_amount': 81646852386385543072}), 'event': 'RemoveLiquidityOne', 'logIndex': 202, 'transactionIndex': 71, 'transactionHash': HexBytes('0xecee54117516237d547455f864053f42831fdcd19b99d3bf78c47f49d1643d38'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0xe677741025187e0615c65bcb5edac436d464f7de63ca27c2e929bd83983b4d39'), 'blockNumber': 17808393})]",81646852386385543072,0,11007468599240687616,244344520284965240307712
0x3f6524BBaB05FD836710fbbF9adC6268e42Abd80,3257516725333648221166,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x3f6524BBaB05FD836710fbbF9adC6268e42Abd80', 'token_amount': 3257516725333648221166, 'coin_index': 0, 'coin_amount': 56150374073435874257}), 'event': 'RemoveLiquidityOne', 'logIndex': 164, 'transactionIndex': 47, 'transactionHash': HexBytes('0xdb41d59ef7dec4426552c40098e2a4746b4a1540d011d2796cb4cac9d8301053'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x437eb6824ea0e80fc72ae1c80d0b96cd919e59d7329515daead5fb5bcf076e04'), 'blockNumber': 17808213})]",56150374073435874257,0,10218736043535556608,175026142340271474475008
0x52f541764E6e90eeBc5c21Ff570De0e2D63766B6,3234742718316399353907,True,stakedao,[],0,0,65905109251595165696,173802496560386461925376
0xe69e397397803C02648Dbdd81AcF665B1530E10B,1477739725174639825928,False,,[],0,0,30107679810697949184,79398850501312124026880
0x5BF9c453B0008E6e5Ccede80A774c7d3049b3427,1044054626004033334033,False,,[],0,0,21271717778915729408,56096980918274235564032
0x0CCbaf8dB373620B6D5e0B42b51F1451d599C0b5,1043662203779690897912,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x0CCbaf8dB373620B6D5e0B42b51F1451d599C0b5', 'token_amounts': [1064496450090177803, 351594072425219777154], 'token_supply': 409825603145121593204593}), 'event': 'RemoveLiquidity', 'logIndex': 189, 'transactionIndex': 73, 'transactionHash': HexBytes('0xfdac15b46ea064a6c692b2bd350a683f59fee5a611ba905a212f60d2ab3cfb88'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0xfd8b35c018f6676f0d37e66eebccd379fc278cde7e3675d2387bed36c5734eec'), 'blockNumber': 17833175})]",1064496450090177803,351594072425219777154,20199226062487494656,55724302027600477290496
0x65e7D821798bbf68387833c16762a3Df2F8a7BeD,899740486567766894263,False,,[],0,0,18331440930237227008,48342992453917648879616
0x10E3085127C9BD92AB325F8D1f65CDcEC2436149,800099143155826216205,False,,[],0,0,16301333995810752512,42989270147792585621504
