User,LP Balance,is_contract,contract_type,events,withdrawn_eth,withdrawn_aleth,eth_to_redeem,crv_to_redeem
0x92883bE226773b7E8AD50998330bA3317ad5f7C2,1714884451316666990592,False,,[],0,0,42272062761092710400,111478307616301095321600
0x70CCBE10F980d80b7eBaab7D2E3A73e87D67B775,464696770900198686720,True,gitcoin grants,[],0,0,11454819040016449536,30208221629708037521408
0x5201103DfC394B7a510e7e1Fb3c9159f414cCA12,299859305291657248768,False,,[],0,0,7391560033712108544,19492746494522270154752
0x14622Fe342Afe700419A7995223e305b3dad5795,298666639314949439488,False,,[],0,0,7362160705389024256,19415215682150132088832
0xef792C9D189F52f9AF48488a1CB8aDD2794bAad1,143499774334167220224,False,,[],0,0,3537282912676206080,9328390594370190966784
0x1B87DAd9086228a553F8CBF726f61Fdbffd556B9,95615945299529072640,False,,[],0,0,2356942030443854336,6215639633877601878016
0x44791F3A984982499Dc582633D2b5BFc8F9850c5,81512389345432371200,False,,[],0,0,2009288051781668864,5298819525136537878528
0xac106F158cDc8DB677bC3E98EC858257CF326841,55167895116532826112,False,,[],0,0,1359893795160909056,3586261207058451791872
0x75C22c3Bc2142eb1BE4CdfaE224106ABCC14b958,43011774798593015808,False,,[],0,0,1060244287803834880,2796036699988252688384
0x38430336153468dcf36Af5cea7D6bc472425633A,34801386064762281984,False,,[],0,0,857857434518772352,2262309637376743047168
0xe609d6FCDfAfFC763E805Fe75F9b3074559B9F6a,24310550192352100352,False,,[],0,0,599257345122454272,1580339124647013122048
0xd5eB646c6B132a05d2fDf923F68C36f15D7329aC,21357744507270500352,False,,[],0,0,526470407702125632,1388388127458862301184
0x597FD366Af14906cC958568FB4B320D2eB0D4A3E,16847591486793375744,False,,[],0,0,415294712221675328,1095199729005947912192
0x5eC20c872297A8A3FEe6618B7Db9D243C89F496a,8559760376042736640,False,,[],0,0,210998897073314656,556438423352473223168
0xAe42B13CF992FeB85eEEf0c8B91FDDbFe721C02c,6790355820094710784,False,,[],0,0,167382908613351296,441415964997210603520
0x68f272FcaaE074CB33E68D88a32c325ed0dF8379,6110010588936147968,False,,[],0,0,150612334777508544,397189233040928735232
0x1caD61ec58403392aA0e773DA47d996063069c20,5964073616927774720,False,,[],0,0,147014974713298208,387702409222770065408
0xde614795Fc6944445A24e53586a6B96448a51A66,4222873250609527808,False,,[],0,0,104094222176221920,274513401118457593856
0x3AC7eA97Df298ee0b26A31C62fdA9875Deb9Ed23,3120311403216230912,False,,[],0,0,76915969101963136,202839925570098003968
0x3472337D13D8F42FE3E2dAe23Daa25a68e2491E2,2946801768693193728,False,,[],0,0,72638940317556896,191560704747435491328
0x2844A1F5c5164B9adAE211DF8931838A2d33b5ED,2881009200871864832,False,,[],0,0,71017147342513424,187283772789237874688
0x5Be125EDB817d8a6F044fA7A8Fbaa7C704562BC3,2540995494051229184,False,,[],0,0,62635777540414968,165180736882878545920
0x162E4ee7982649DC2B4685dF5d002A0f219abc78,2480818253404557824,False,,[],0,0,61152402907533808,161268836615102988288
0x40e1340525cA321B281AB253dEbA0295c9F7F248,2371926249615475200,False,,[],0,0,58468204788634864,154190169427914620928
0x0c68EE01c86d7Ea565bbE730D94c1612b321e67A,2235321788643278080,False,,[],0,0,55100891997835272,145310017700884054016
0xCaF5b90131fC9D799fba1712Bb655D1FD257cEca,2138319050448928256,False,,[],0,0,52709765392307368,139004227780314988544
0x394D73389508bc0e1CA5A56a1d0e9cb1f4fe2a36,2005616344555617536,False,,[],0,0,49438631230596432,130377714747479588864
0x116aA729C4F190e4AC3900497FCe4Fb037b9Bb25,1999828302748612352,False,,[],0,0,49295955456527984,130001455516391489536
0x2b8E71cCcABEAdc11A4CFFF2305C8a8a0342672b,1958226251591111936,False,,[],0,0,48270460988857112,127297059746260074496
0xe54C55005847d78929596Db2115A85C697A73885,1825101416486794240,False,,[],0,0,44988921302454832,118643105651723796480
